# generated by standalone/check-upstream-text.py, scanner 1
# file:line	class	string
src/frontend/sdl/menu.cpp:1470	ui	RA USERNAME
src/frontend/sdl/menu.cpp:1215	ui	REOPENS THE DISPLAY
src/frontend/sdl/menu.cpp:240	ui	RESET
src/frontend/sdl/menu.cpp:1260	ui	RESTART REQUIRED
src/frontend/sdl/menu.cpp:239	ui	RESUME
src/frontend/sdl/menu.cpp:970	ui	RETROACHIEVEMENTS
src/frontend/sdl/menu.cpp:975	ui	RetroAchievements does not recognise this dump
src/frontend/sdl/menu.cpp:233	ui	SAVE STATE
src/frontend/sdl/menu.cpp:1166	ui	SAVE TO < %s >
src/frontend/sdl/menu.cpp:1171	ui	SAVE TO < THIS GAME >
src/frontend/sdl/menu.cpp:956	ui	SCREENSHOT ON UNLOCK
src/frontend/sdl/menu.cpp:953	ui	SIGN IN
src/frontend/sdl/menu.cpp:952	ui	SIGN OUT
src/frontend/sdl/menu.cpp:1686	ui	SLOT < %d >%s%s
src/frontend/sdl/menu.cpp:1640	ui	SLOT < 0 >
src/frontend/sdl/menu.cpp:1641	ui	SLOT < 0 >
src/frontend/sdl/menu.cpp:1641	ui	SLOT < 0 > REJECTED
src/frontend/sdl/menu.cpp:1662	ui	STATE SLOT
src/frontend/sdl/menu.cpp:1683	ui	SURE?
src/frontend/sdl/menu.cpp:1166	ui	THIS GAME
src/frontend/sdl/menu.cpp:1168	ui	THIS GAME
src/frontend/sdl/menu.cpp:955	ui	UNLOCK NOTICES
src/frontend/sdl/menu.cpp:1565	ui	UP/DOWN LETTER   L/R TABLE
src/frontend/sdl/menu.cpp:1683	ui	USED
src/frontend/sdl/menu.cpp:954	ui	VIEW ACHIEVEMENTS
src/frontend/sdl/menu.cpp:1161	ui	VISUAL FX
src/frontend/sdl/menu.cpp:1205	ui	VISUAL FX
src/frontend/sdl/menu.cpp:752	ui	[ ] 
src/frontend/sdl/menu.cpp:795	ui	[PATHS] GAMES IN THE
src/frontend/sdl/menu.cpp:752	ui	[X] 
